Date,Close/Last,Volume,Open,High,Low
12/12/2023,$147.48,44944260,$145.52,$147.50,$145.30
12/11/2023,$145.89,50907290,$145.66,$146.19,$143.64
12/08/2023,$147.42,41905970,$145.48,$147.84,$145.40
12/07/2023,$146.88,52352830,$146.15,$147.92,$145.34
12/06/2023,$144.52,39678960,$147.58,$147.85,$144.28
12/05/2023,$146.88,46822410,$143.55,$148.57,$143.13
12/04/2023,$144.84,48294240,$145.25,$145.35,$142.81
12/01/2023,$147.03,39951830,$146.00,$147.245,$145.55
11/30/2023,$146.09,65814020,$144.76,$146.93,$144.332
11/29/2023,$146.32,40610910,$147.85,$148.54,$145.97
11/28/2023,$147.03,42711680,$146.98,$147.5999,$145.53
11/27/2023,$147.73,53762430,$147.53,$149.26,$146.88
11/24/2023,$146.74,22378380,$146.70,$147.20,$145.32
11/22/2023,$146.71,45700000,$144.57,$147.74,$144.57
11/21/2023,$143.90,71225990,$143.91,$144.05,$141.50
11/20/2023,$146.13,41978770,$145.13,$146.63,$144.725
11/17/2023,$145.18,49678440,$142.66,$145.23,$142.545
11/16/2023,$142.83,49653510,$140.91,$143.32,$139.52
11/15/2023,$143.20,63875720,$147.06,$147.29,$142.59
11/14/2023,$145.80,56674550,$145.00,$147.26,$144.68
11/13/2023,$142.59,35680570,$142.08,$143.23,$140.67
